# This file is generated by MACS version 2.1.0.20140616
# Command line: callpeak -t ../BAM/H3K4me3_WT_1.bam -c ../BAM/Input_WT_1.bam -f BAM --gsize 12156677 --name H3K4me3_WT_1 -q 0.01 --nomodel
# ARGUMENTS LIST:
# name = H3K4me3_WT_1
# format = BAM
# ChIP-seq file = ['../BAM/H3K4me3_WT_1.bam']
# control file = ['../BAM/Input_WT_1.bam']
# effective genome size = 1.22e+07
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 1.00e-02
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off

# tag size is determined as 51 bps
# total tags in treatment: 5774180
# tags after filtering in treatment: 4073992
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.29
# total tags in control: 5875629
# tags after filtering in control: 5077659
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.14
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chrI	75591	77082	1492	76537	318.00	102.59612	4.45496	98.84683	H3K4me3_WT_1_peak_18
chrI	79615	80155	541	79818	230.00	51.47814	3.26256	50.21046	H3K4me3_WT_1_peak_19
chrI	81986	83069	1084	82316	293.00	79.28648	3.80721	77.08366	H3K4me3_WT_1_peak_20
chrI	83928	84542	615	84323	242.00	56.99137	3.39283	55.59039	H3K4me3_WT_1_peak_21
chrI	86536	87693	1158	86900	278.00	67.91506	3.50375	66.18154	H3K4me3_WT_1_peak_22
chrI	91831	92575	745	92204	257.00	57.48861	3.27300	56.07423	H3K4me3_WT_1_peak_23
chrI	92840	93374	535	93090	227.00	41.94133	2.86328	40.86819	H3K4me3_WT_1_peak_24
chrI	94551	95155	605	94746	247.00	54.69725	3.24524	53.35386	H3K4me3_WT_1_peak_25
chrI	99233	99850	618	99544	258.00	65.51070	3.60250	63.85963	H3K4me3_WT_1_peak_26
chrI	100533	101237	705	100887	274.00	71.56886	3.69157	69.69822	H3K4me3_WT_1_peak_27
chrI	105421	106004	584	105782	241.00	51.61726	3.16672	50.34641	H3K4me3_WT_1_peak_28
chrI	107810	108744	935	108503	320.00	92.37668	4.03119	89.42699	H3K4me3_WT_1_peak_29
chrI	109936	110547	612	110324	270.00	63.55388	3.40328	61.96761	H3K4me3_WT_1_peak_30
chrI	112663	113546	884	113242	319.00	105.27280	4.55154	101.31624	H3K4me3_WT_1_peak_31
chrI	114151	115520	1370	114502	291.00	86.49511	4.12410	83.90500	H3K4me3_WT_1_peak_32
chrI	119779	120446	668	120013	280.00	59.85241	3.17677	58.37403	H3K4me3_WT_1_peak_33
chrI	124702	125388	687	124955	315.00	86.23630	3.85197	83.65982	H3K4me3_WT_1_peak_34
chrI	127486	128139	654	127886	224.00	36.82677	2.66452	35.83883	H3K4me3_WT_1_peak_35
chrI	128303	129847	1545	129370	309.00	82.70810	3.77883	80.33177	H3K4me3_WT_1_peak_36
chrI	130630	131485	856	131019	306.00	90.57121	4.11493	87.73640	H3K4me3_WT_1_peak_37
chrI	132068	132818	751	132454	273.00	69.67565	3.62351	67.87661	H3K4me3_WT_1_peak_38
chrI	135204	136375	1172	135931	286.00	68.60133	3.45788	66.84325	H3K4me3_WT_1_peak_39
chrI	136754	137324	571	136986	217.00	40.75687	2.88907	39.70428	H3K4me3_WT_1_peak_40
chrI	137876	138505	630	138273	284.00	67.68659	3.44044	65.96190	H3K4me3_WT_1_peak_41
chrI	141181	141561	381	141341	169.00	25.29423	2.49909	24.46590	H3K4me3_WT_1_peak_42
chrI	142068	143129	1062	142693	258.00	62.23150	3.46187	60.68515	H3K4me3_WT_1_peak_43
chrI	143557	144255	699	143849	256.00	58.43429	3.32117	56.99503	H3K4me3_WT_1_peak_44
chrI	150680	151228	549	151037	161.00	20.14242	2.27053	19.37544	H3K4me3_WT_1_peak_45
chrI	151772	151996	225	151855	132.00	10.51927	1.85076	9.86369	H3K4me3_WT_1_peak_46
chrI	152146	152891	746	152449	232.00	51.71468	3.25393	50.44121	H3K4me3_WT_1_peak_47
chrI	154199	155502	1304	155083	264.00	67.75139	3.63565	66.02416	H3K4me3_WT_1_peak_48
chrI	158133	159148	1016	158538	252.00	56.01175	3.25597	54.63532	H3K4me3_WT_1_peak_49
chrI	168391	169715	1325	168849	238.00	47.87934	3.03197	46.68999	H3K4me3_WT_1_peak_50
chrI	171267	171765	499	171577	203.00	23.49327	2.20621	22.68709	H3K4me3_WT_1_peak_51
chrI	174663	175656	994	175079	277.00	60.66378	3.23077	59.16349	H3K4me3_WT_1_peak_52
chrI	179607	180086	480	179946	163.00	10.16495	1.71412	9.51343	H3K4me3_WT_1_peak_53
chrI	180390	180833	444	180650	156.00	11.59664	1.81779	10.92844	H3K4me3_WT_1_peak_54
chrI	183520	184214	695	183837	223.00	42.08563	2.90073	41.00924	H3K4me3_WT_1_peak_55
chrI	184793	185347	555	184970	209.00	36.94524	2.77714	35.95553	H3K4me3_WT_1_peak_56
chrI	187963	188171	209	188093	121.00	6.98481	1.64837	6.37141	H3K4me3_WT_1_peak_57
chrI	192503	193204	702	192815	289.00	89.16712	4.26315	86.41541	H3K4me3_WT_1_peak_58
chrI	200605	201056	452	200773	191.00	24.75554	2.32678	23.93409	H3K4me3_WT_1_peak_59
chrII	10024	10622	599	10440	215.00	39.55865	2.85044	38.52660	H3K4me3_WT_1_peak_60
chrII	17253	18041	789	17830	264.00	54.09118	3.07969	52.76283	H3K4me3_WT_1_peak_61
chrII	20778	21360	583	21020	255.00	62.34955	3.49678	60.79971	H3K4me3_WT_1_peak_62
chrII	23122	24632	1511	24256	298.00	76.37090	3.64474	74.30392	H3K4me3_WT_1_peak_63
chrII	27686	28559	874	27973	249.00	64.92456	3.67513	63.29304	H3K4me3_WT_1_peak_64
chrII	36655	37607	953	37215	270.00	77.33260	3.98384	75.22061	H3K4me3_WT_1_peak_65
chrII	40726	41377	652	41060	228.00	44.46009	2.96548	43.33935	H3K4me3_WT_1_peak_66
chrII	43297	43592	296	43466	143.00	13.65474	1.99670	12.96255	H3K4me3_WT_1_peak_67
chrII	44340	45112	773	44738	279.00	73.10156	3.70286	71.17112	H3K4me3_WT_1_peak_68
chrII	45530	47258	1729	45768	301.00	87.43876	4.04617	84.79311	H3K4me3_WT_1_peak_69
chrII	48143	50158	2016	48473	309.00	78.86675	3.63656	76.68466	H3K4me3_WT_1_peak_70
chrII	58926	59669	744	59362	248.00	44.40227	2.81500	43.28318	H3K4me3_WT_1_peak_71
chrII	59791	60875	1085	60509	329.00	104.83855	4.40805	100.92075	H3K4me3_WT_1_peak_72
chrII	62249	62719	471	62497	204.00	35.08218	2.72839	34.12144	H3K4me3_WT_1_peak_73
chrII	63625	64314	690	63876	266.00	62.93707	3.41499	61.36970	H3K4me3_WT_1_peak_74
chrII	68915	69608	694	69404	288.00	72.57819	3.59313	70.66457	H3K4me3_WT_1_peak_75
chrII	70676	72454	1779	71888	243.00	51.86191	3.15972	50.58529	H3K4me3_WT_1_peak_76
chrII	74135	74836	702	74526	252.00	53.34992	3.14554	52.03872	H3K4me3_WT_1_peak_77
chrII	75109	75793	685	75364	277.00	67.89787	3.51243	66.16509	H3K4me3_WT_1_peak_78
chrII	80383	80825	443	80660	195.00	33.06688	2.70090	32.13576	H3K4me3_WT_1_peak_79
chrII	83488	84377	890	84033	301.00	85.07424	3.95186	82.56532	H3K4me3_WT_1_peak_80
chrII	87375	87941	567	87692	226.00	51.66272	3.31113	50.39093	H3K4me3_WT_1_peak_81
chrII	88934	89541	608	89223	290.00	89.56886	4.26763	86.79523	H3K4me3_WT_1_peak_82
chrII	89872	91244	1373	90100	254.00	60.92208	3.44536	59.41498	H3K4me3_WT_1_peak_83
chrII	92212	92902	691	92535	243.00	48.15833	3.00368	46.96281	H3K4me3_WT_1_peak_84
chrII	95720	96187	468	95943	189.00	26.24495	2.41035	25.40469	H3K4me3_WT_1_peak_85
chrII	99560	100233	674	99900	272.00	71.95763	3.72898	70.06927	H3K4me3_WT_1_peak_86
chrII	100748	101188	441	101091	140.00	13.31597	1.99143	12.62796	H3K4me3_WT_1_peak_87
chrII	101786	102335	550	102022	241.00	57.84511	3.44132	56.42131	H3K4me3_WT_1_peak_88
chrII	106882	108353	1472	107366	247.00	58.40459	3.40542	56.96585	H3K4me3_WT_1_peak_89
chrII	110146	112110	1965	111708	312.00	97.49563	4.32273	94.17490	H3K4me3_WT_1_peak_90
chrII	112885	114357	1473	113857	309.00	94.64603	4.24368	91.54123	H3K4me3_WT_1_peak_91
chrII	116334	116880	547	116585	178.00	25.70552	2.45578	24.87199	H3K4me3_WT_1_peak_92
chrII	117412	118083	672	117865	183.00	28.83185	2.58062	27.95852	H3K4me3_WT_1_peak_93
chrII	121518	122187	670	121996	211.00	31.36427	2.51057	30.45701	H3K4me3_WT_1_peak_94
chrII	124218	125669	1452	124602	264.00	63.75937	3.46769	62.16729	H3K4me3_WT_1_peak_95
chrII	127004	127641	638	127280	228.00	48.10612	3.12797	46.91205	H3K4me3_WT_1_peak_96
chrII	131485	132916	1432	131915	269.00	66.51572	3.53312	64.83146	H3K4me3_WT_1_peak_97
chrII	135087	135777	691	135489	266.00	70.23141	3.72042	68.41221	H3K4me3_WT_1_peak_98
chrII	139769	140389	621	140097	203.00	35.50776	2.75629	34.54040	H3K4me3_WT_1_peak_99
chrII	141121	141960	840	141383	313.00	99.57397	4.39498	96.06327	H3K4me3_WT_1_peak_100
chrII	142209	143199	991	142576	243.00	45.52223	2.89502	44.38086	H3K4me3_WT_1_peak_101
chrII	145150	145828	679	145548	245.00	57.24395	3.37424	55.83591	H3K4me3_WT_1_peak_102
chrII	146016	146739	724	146369	281.00	75.23318	3.76930	73.21439	H3K4me3_WT_1_peak_103
chrII	147070	147743	674	147388	255.00	58.07116	3.31512	56.64192	H3K4me3_WT_1_peak_104
chrII	150734	151331	598	151102	214.00	35.46634	2.67309	34.49960	H3K4me3_WT_1_peak_105
chrII	153069	153677	609	153464	164.00	19.91027	2.23906	19.14568	H3K4me3_WT_1_peak_106
chrII	157942	158505	564	158199	241.00	55.96465	3.35705	54.59013	H3K4me3_WT_1_peak_107
chrII	159090	159808	719	159591	284.00	81.10496	3.98013	78.81093	H3K4me3_WT_1_peak_108
chrII	160103	160876	774	160270	277.00	79.14298	3.97867	76.94921	H3K4me3_WT_1_peak_109
chrII	161624	162250	627	161948	210.00	38.17276	2.82635	37.16346	H3K4me3_WT_1_peak_110
chrII	163238	164179	942	163800	291.00	83.23656	3.98851	80.83154	H3K4me3_WT_1_peak_111
chrII	164497	164896	400	164732	181.00	27.56450	2.53036	26.70764	H3K4me3_WT_1_peak_112
chrII	166455	166901	447	166739	141.00	14.18400	2.04024	13.48575	H3K4me3_WT_1_peak_113
chrII	167458	167957	500	167746	270.00	65.28732	3.47328	63.64471	H3K4me3_WT_1_peak_114
chrII	168320	170059	1740	168896	304.00	97.24583	4.41374	93.94072	H3K4me3_WT_1_peak_115
chrII	170405	172047	1643	170767	283.00	76.20458	3.78791	74.14382	H3K4me3_WT_1_peak_116
chrII	172459	173081	623	172672	266.00	61.41137	3.35305	59.88990	H3K4me3_WT_1_peak_117
chrII	177061	177631	571	177425	213.00	32.62387	2.55366	31.69900	H3K4me3_WT_1_peak_118
chrII	180739	182884	2146	181131	322.00	83.44370	3.68501	81.02728	H3K4me3_WT_1_peak_119
chrII	184291	184885	595	184548	217.00	30.60885	2.44238	29.71194	H3K4me3_WT_1_peak_120
chrII	191219	192167	949	191503	250.00	53.10406	3.15212	51.79911	H3K4me3_WT_1_peak_121
chrII	192328	192948	621	192578	224.00	34.52293	2.56696	33.57044	H3K4me3_WT_1_peak_122
chrII	194126	194437	312	194200	129.00	8.43974	1.72284	7.80867	H3K4me3_WT_1_peak_123
chrII	201356	201845	490	201628	210.00	36.13985	2.73238	35.16291	H3K4me3_WT_1_peak_124
chrII	201979	202334	356	202135	148.00	15.22918	2.06511	14.51907	H3K4me3_WT_1_peak_125
chrII	203388	204035	648	203699	259.00	61.93956	3.43983	60.40288	H3K4me3_WT_1_peak_126
chrII	206437	207642	1206	207301	250.00	53.72041	3.17773	52.40086	H3K4me3_WT_1_peak_127
chrII	209527	210141	615	209763	257.00	54.19453	3.13882	52.86334	H3K4me3_WT_1_peak_128
chrII	215654	217980	2327	217014	330.00	92.72740	3.94228	89.75687	H3K4me3_WT_1_peak_129
chrII	220525	220911	387	220730	149.00	17.67703	2.20508	16.93826	H3K4me3_WT_1_peak_130
chrII	227487	228007	521	227759	234.00	43.86779	2.89289	42.75913	H3K4me3_WT_1_peak_131
chrII	235368	235795	428	235572	154.00	14.91816	2.01558	14.21162	H3K4me3_WT_1_peak_132
chrII	236448	237543	1096	237358	228.00	49.97897	3.21319	48.74504	H3K4me3_WT_1_peak_133
chrII	240879	241305	427	241131	155.00	17.77555	2.17373	17.03561	H3K4me3_WT_1_peak_134
chrII	241761	243408	1648	242466	287.00	73.87579	3.65359	71.91264	H3K4me3_WT_1_peak_135
chrII	245427	246280	854	246014	179.00	24.66692	2.39566	23.84650	H3K4me3_WT_1_peak_136
chrII	248296	248507	212	248414	129.00	8.00216	1.69260	7.37614	H3K4me3_WT_1_peak_137
chrII	250431	251074	644	250879	217.00	37.51857	2.74322	36.51989	H3K4me3_WT_1_peak_138
chrII	254232	254952	721	254722	237.00	36.58504	2.57391	35.60129	H3K4me3_WT_1_peak_139
chrII	255258	255686	429	255514	153.00	16.67758	2.12213	15.95042	H3K4me3_WT_1_peak_140
chrII	257095	258120	1026	257872	324.00	91.20162	3.94624	88.32801	H3K4me3_WT_1_peak_141
chrII	265683	266090	408	265900	164.00	9.64147	1.68225	8.99612	H3K4me3_WT_1_peak_142
chrII	266838	267446	609	267245	236.00	47.04807	3.01273	45.87606	H3K4me3_WT_1_peak_143
chrII	268859	269718	860	269332	276.00	72.33539	3.70247	70.43449	H3K4me3_WT_1_peak_144
chrII	270097	270713	617	270348	295.00	85.42131	4.03254	82.89085	H3K4me3_WT_1_peak_145
chrII	273172	273806	635	273621	288.00	58.58309	3.07215	57.14012	H3K4me3_WT_1_peak_146
chrII	276728	277246	519	276903	174.00	22.75653	2.32911	21.95905	H3K4me3_WT_1_peak_147
chrII	281401	281802	402	281577	159.00	12.23163	1.84226	11.55604	H3K4me3_WT_1_peak_148
chrII	283599	284213	615	283855	227.00	38.13395	2.70005	37.12508	H3K4me3_WT_1_peak_149
chrII	287454	288127	674	287924	263.00	60.65080	3.34912	59.15080	H3K4me3_WT_1_peak_150
chrII	289262	289833	572	289567	184.00	26.32405	2.44653	25.48288	H3K4me3_WT_1_peak_151
chrII	290935	292036	1102	291660	309.00	93.11686	4.18213	90.11874	H3K4me3_WT_1_peak_152
chrII	293586	294142	557	293917	246.00	53.23451	3.19194	51.92653	H3K4me3_WT_1_peak_153
chrII	295402	296121	720	295870	257.00	62.38701	3.47835	60.83657	H3K4me3_WT_1_peak_154
chrII	297015	298826	1812	297617	307.00	86.80947	3.95562	84.19930	H3K4me3_WT_1_peak_155
chrII	300080	300298	219	300151	147.00	16.97565	2.17568	16.24496	H3K4me3_WT_1_peak_156
chrII	305340	306112	773	305866	267.00	68.14350	3.62100	66.40157	H3K4me3_WT_1_peak_157
chrII	306234	307095	862	306817	283.00	73.67627	3.68537	71.72391	H3K4me3_WT_1_peak_158
chrII	307528	308070	543	307758	225.00	38.72162	2.73882	37.70360	H3K4me3_WT_1_peak_159
chrII	309653	310464	812	310079	297.00	87.10775	4.07851	84.48212	H3K4me3_WT_1_peak_160
chrII	310897	311553	657	311322	273.00	66.93777	3.51173	65.23885	H3K4me3_WT_1_peak_161
chrII	311738	312548	811	312142	258.00	63.04313	3.49637	61.47271	H3K4me3_WT_1_peak_162
chrII	315426	316188	763	315781	273.00	58.61290	3.18428	57.16886	H3K4me3_WT_1_peak_163
chrII	318151	318756	606	318322	226.00	42.14300	2.87974	41.06581	H3K4me3_WT_1_peak_164
chrII	321070	321718	649	321409	238.00	48.50587	3.05874	47.30381	H3K4me3_WT_1_peak_165
chrII	323401	324156	756	323821	308.00	82.12492	3.76664	79.78003	H3K4me3_WT_1_peak_166
chrII	325383	326142	760	325738	268.00	61.80693	3.35115	60.27346	H3K4me3_WT_1_peak_167
chrII	331219	331582	364	331415	159.00	17.03611	2.10920	16.30480	H3K4me3_WT_1_peak_168
chrII	332714	333816	1103	332995	290.00	80.93661	3.90551	78.65417	H3K4me3_WT_1_peak_169
chrII	336230	336984	755	336769	236.00	51.93557	3.22594	50.65730	H3K4me3_WT_1_peak_170
chrII	338893	339482	590	339286	243.00	52.63687	3.19290	51.34237	H3K4me3_WT_1_peak_171
chrII	340271	340876	606	340559	206.00	37.77213	2.83992	36.76926	H3K4me3_WT_1_peak_172
chrII	346771	347405	635	347184	249.00	53.36633	3.17152	52.05455	H3K4me3_WT_1_peak_173
chrII	347788	348480	693	348100	226.00	45.62947	3.03415	44.48601	H3K4me3_WT_1_peak_174
chrII	350100	350532	433	350294	149.00	13.94348	1.98367	13.24807	H3K4me3_WT_1_peak_175
chrII	352732	353463	732	353104	287.00	81.23483	3.95119	78.93483	H3K4me3_WT_1_peak_176
chrII	355426	356696	1271	355760	237.00	51.91304	3.21567	50.63510	H3K4me3_WT_1_peak_177
chrII	359754	360390	637	360095	258.00	65.84513	3.61703	64.18349	H3K4me3_WT_1_peak_178
chrII	361977	363516	1540	363034	255.00	60.77172	3.42913	59.26852	H3K4me3_WT_1_peak_179
chrII	365183	365952	770	365595	255.00	57.57909	3.29458	56.16282	H3K4me3_WT_1_peak_180
chrII	366065	366660	596	366437	251.00	60.41999	3.45349	58.92627	H3K4me3_WT_1_peak_181
chrII	369316	369786	471	369602	223.00	48.29278	3.18317	47.09529	H3K4me3_WT_1_peak_182
chrII	370087	370834	748	370264	156.00	17.03856	2.12587	16.30716	H3K4me3_WT_1_peak_183
chrII	372404	372633	230	372566	111.00	4.67272	1.49703	4.09145	H3K4me3_WT_1_peak_184
chrII	375073	375847	775	375512	240.00	53.46581	3.25620	52.15181	H3K4me3_WT_1_peak_185
chrII	377875	378610	736	378235	228.00	46.61274	3.06088	45.44946	H3K4me3_WT_1_peak_186
chrII	380256	381109	854	380581	223.00	36.98877	2.67812	35.99838	H3K4me3_WT_1_peak_187
chrII	383105	383738	634	383412	224.00	46.91491	3.11015	45.74553	H3K4me3_WT_1_peak_188
chrII	386269	386869	601	386493	243.00	39.70883	2.66189	38.67427	H3K4me3_WT_1_peak_189
chrII	391835	392418	584	392231	255.00	63.78933	3.55919	62.19493	H3K4me3_WT_1_peak_190
chrII	392879	393767	889	393153	205.00	38.46432	2.88139	37.45067	H3K4me3_WT_1_peak_191
chrII	397694	398401	708	398142	310.00	65.06339	3.14507	63.42822	H3K4me3_WT_1_peak_192
chrII	400330	400990	661	400633	269.00	66.15649	3.51835	64.48434	H3K4me3_WT_1_peak_193
chrII	404835	405381	547	405123	226.00	36.51056	2.63807	35.52768	H3K4me3_WT_1_peak_194
chrII	406515	407274	760	406924	301.00	85.07424	3.95186	82.56532	H3K4me3_WT_1_peak_195
chrII	409086	409729	644	409378	210.00	39.21705	2.87518	38.19085	H3K4me3_WT_1_peak_196
chrII	410960	411678	719	411297	256.00	58.59970	3.32807	57.15593	H3K4me3_WT_1_peak_197
chrII	414297	415387	1091	415071	300.00	79.43105	3.74232	77.22197	H3K4me3_WT_1_peak_198
chrII	415965	416177	213	416069	108.00	5.08190	1.54087	4.49416	H3K4me3_WT_1_peak_199
chrII	418813	419271	459	419085	186.00	27.97946	2.51569	27.11715	H3K4me3_WT_1_peak_200
chrII	422552	423383	832	423017	284.00	72.35999	3.62290	70.45659	H3K4me3_WT_1_peak_201
chrII	423638	424360	723	423954	244.00	46.40078	2.92359	45.24199	H3K4me3_WT_1_peak_202
chrII	425340	425831	492	425596	154.00	10.33208	1.75231	9.67874	H3K4me3_WT_1_peak_203
chrII	426147	427593	1447	427269	255.00	62.88528	3.51992	61.31974	H3K4me3_WT_1_peak_204
chrII	428691	429163	473	428988	163.00	21.53287	2.33480	20.74994	H3K4me3_WT_1_peak_205
chrII	429551	430223	673	429847	181.00	29.02608	2.60594	28.15036	H3K4me3_WT_1_peak_206
chrII	431978	432474	497	432132	173.00	21.18178	2.25324	20.40283	H3K4me3_WT_1_peak_207
chrII	435190	436522	1333	435535	258.00	56.40894	3.22014	55.02266	H3K4me3_WT_1_peak_208
chrII	436834	437340	507	437036	232.00	51.17126	3.22933	49.90987	H3K4me3_WT_1_peak_209
chrII	441482	442069	588	441663	173.00	21.91334	2.29134	21.12575	H3K4me3_WT_1_peak_210
chrII	444103	444807	705	444614	270.00	66.35176	3.51667	64.67343	H3K4me3_WT_1_peak_211
chrII	446871	448019	1149	447213	282.00	73.86771	3.70324	71.90563	H3K4me3_WT_1_peak_212
chrII	449508	450092	585	449780	246.00	55.46682	3.28738	54.10403	H3K4me3_WT_1_peak_213
chrII	451336	452139	804	451827	250.00	64.71513	3.65436	63.09210	H3K4me3_WT_1_peak_214
chrII	452510	453298	789	452769	315.00	104.10010	4.55600	100.23555	H3K4me3_WT_1_peak_215
chrII	453921	455316	1396	454321	224.00	46.85473	3.10739	45.68713	H3K4me3_WT_1_peak_216
chrII	457877	459303	1427	458265	263.00	61.83241	3.39754	60.29861	H3K4me3_WT_1_peak_217
chrII	461267	462487	1221	461625	270.00	72.75444	3.78462	70.83456	H3K4me3_WT_1_peak_218
chrII	465013	466022	1010	465544	298.00	94.96312	4.39546	91.83170	H3K4me3_WT_1_peak_219
chrII	467179	467657	479	467444	176.00	18.42435	2.09609	17.67694	H3K4me3_WT_1_peak_220
chrII	473362	474103	742	473836	264.00	62.02961	3.39638	60.49018	H3K4me3_WT_1_peak_221
chrII	474280	474968	689	474490	149.00	17.67703	2.20508	16.93826	H3K4me3_WT_1_peak_222
chrII	479277	479937	661	479476	222.00	42.29522	2.91810	41.21529	H3K4me3_WT_1_peak_223
chrII	480511	481074	564	480850	269.00	63.01586	3.39072	61.44635	H3K4me3_WT_1_peak_224
chrII	482790	483575	786	483274	297.00	70.41580	3.43120	68.59135	H3K4me3_WT_1_peak_225
chrII	483922	484606	685	484322	276.00	68.60242	3.55017	66.84383	H3K4me3_WT_1_peak_226
chrII	486223	486826	604	486600	271.00	58.36999	3.19079	56.93189	H3K4me3_WT_1_peak_227
chrII	487971	488592	622	488384	206.00	37.78528	2.84055	36.78215	H3K4me3_WT_1_peak_228
chrII	489718	490649	932	490271	284.00	80.36707	3.94916	78.11276	H3K4me3_WT_1_peak_229
chrII	490750	491121	372	490923	180.00	27.28456	2.52321	26.43131	H3K4me3_WT_1_peak_230
chrII	492183	493301	1119	492743	300.00	83.64095	3.90597	81.21156	H3K4me3_WT_1_peak_231
chrII	493760	494177	418	494035	151.00	14.27382	1.99320	13.57461	H3K4me3_WT_1_peak_232
chrII	494761	495460	700	495250	255.00	59.40514	3.37116	57.93911	H3K4me3_WT_1_peak_233
chrII	496357	497572	1216	496738	264.00	54.83553	3.10867	53.48967	H3K4me3_WT_1_peak_234
chrII	501160	501656	497	501400	185.00	28.89183	2.56878	28.01767	H3K4me3_WT_1_peak_235
chrII	503556	504487	932	504083	258.00	66.53850	3.64728	64.85389	H3K4me3_WT_1_peak_236
chrII	504671	505277	607	504906	274.00	73.51193	3.77284	71.56400	H3K4me3_WT_1_peak_237
chrII	505599	506076	478	505788	178.00	19.49517	2.14011	18.73528	H3K4me3_WT_1_peak_238
chrII	512933	513545	613	513152	224.00	44.36833	2.99457	43.25014	H3K4me3_WT_1_peak_239
chrII	514849	516224	1376	515770	263.00	64.80582	3.52115	63.17955	H3K4me3_WT_1_peak_240
chrII	526387	528703	2317	526749	226.00	49.20312	3.19665	47.98568	H3K4me3_WT_1_peak_241
chrII	531474	532326	853	531953	287.00	80.96259	3.93992	78.67825	H3K4me3_WT_1_peak_242
chrII	533592	534236	645	533929	207.00	38.68756	2.87516	37.67003	H3K4me3_WT_1_peak_243
chrII	535117	535920	804	535404	294.00	74.10950	3.59598	72.13711	H3K4me3_WT_1_peak_244
chrII	539883	540847	965	540207	266.00	72.98129	3.83976	71.05381	H3K4me3_WT_1_peak_245
chrII	544041	544575	535	544330	241.00	59.05921	3.49637	57.60356	H3K4me3_WT_1_peak_246
chrII	544816	545546	731	545163	276.00	66.81536	3.47863	65.11983	H3K4me3_WT_1_peak_247
chrII	546253	546949	697	546606	259.00	61.90485	3.43837	60.36898	H3K4me3_WT_1_peak_248
chrII	547317	547949	633	547518	192.00	32.84370	2.71356	31.91619	H3K4me3_WT_1_peak_249
chrII	548426	549182	757	548943	293.00	83.39155	3.97229	80.97805	H3K4me3_WT_1_peak_250
chrII	549671	550229	559	549943	213.00	39.55947	2.86654	38.52738	H3K4me3_WT_1_peak_251
chrII	552787	553299	513	553127	177.00	28.63057	2.61669	27.75962	H3K4me3_WT_1_peak_252
chrII	553626	554438	813	554123	175.00	27.07084	2.54932	26.22027	H3K4me3_WT_1_peak_253
